,response,knowledge
6416," The listener asked the speaker if he had anything to drink.
"," The speaker ordered two lemon sodas from the bar.
"
6417," The listener asked the speaker if he had anything to drink.
"," The speaker ordered two lemon sodas from the bar.
"
6418," The speaker is curious to know about the cheque.
"," The speaker was curious if the listener accept cheques for the payments.
"
6419," The customer has paid the bill for the coat.
"," The speaker drafted a cheque in favour of the listener.
"
6420," The listener takes the coat from the speaker and pays for it.
"," The speaker would tell the listener to wrap up his coat.
"
6421," The listener gives the receipt of the coat to the speaker.
"," The speaker would tell the listener to wrap up his coat.
"
6422," The store has a check-out counter.
"," The speaker's store had separate counters for billing and packing.
"
6423," The listener pays the bill through the check-out counter.
"," The listener went to the billing counter to pay for the coat.
"
6424," The listener pays the bill through cash.
"," The listener went to the billing counter to pay for the coat.
"
6425," The speaker has to pay for the coat in cash.
"," The listener showed the way to the billing counter where he had to pay.
"
6426," The listener wrapped the coat for the speaker.
"," The speaker further went to check some formal shoes in the store.
"
6427," The listener wrapped the coat for the speaker.
"," The speaker further went to check some formal shoes in the store.
"
6428," The listener is happy to help the speaker.
"," The listener was happy as he had made his first sale of the day and that too of a zara coat.
"
6429," The speaker's printer is broken.
"," The speaker had been living as the listener's neighbour for the last five years.
"
6430," The speaker asked the listener if he could help him out with the printing of the document.
"," The listener will express his willingness to help the speaker in the best possible way.
"
6431," The speaker asks the listener if he has anything important to discuss with the listener.
"," The listener will express his willingness to help the speaker in the best possible way.
"
6432," The speaker's printer is broken.
"," The listener asked if the speaker could help him.
"
6433," The speaker would ask the listener about the project he was working on.
"," The speaker will request the listener to let him use his printer.
"
6434," The speaker asks the listener about the name of the project he is working on.
"," The speaker will request the listener to let him use his printer.
"
6435," The speaker is offering a help to the listener.
"," The speaker was glad to help the listener.
"
6436," The speaker is not good at writing.
"," The listener had been working as a content writer for a famous magazine.
"
6437," The speaker asked the listener if he could help him out with the printing of the document.
"," The listener edited the speaker's report which he wanted to print.
"
6438," The speaker asked the listener if he would like to help him out with the printing of the document.
"," The listener edited the speaker's report which he wanted to print.
"
6439," The listener is happy to help the speaker.
"," The listener was impressed by the speaker's articles she had written for the magazine.
"
6440," The speaker is looking for a room in the hotel.
"," The speaker got the listener's number from one of his colleagues.
"
6441," The hotel staff will ask the speaker about the availability of the room.
"," The listener will provide the contact details of a few paying guests' houses to the speaker.
"
6442," The listener asks the speaker if he needs anything else apart from the room.
"," The listener will provide the contact details of a few paying guests' houses to the speaker.
"
6443," The speaker is curious to know about the room.
"," The speaker was searching to rent an apartment to live in.
"
6444," The speaker is looking for a room.
"," The listener called the listener to inquire if he could help him to get an apartment to live in.
"
6445," The listener inquired about the availability of the room in the hotel.
"," The listener wants to know about the speaker's budget for providing a room for rent.
"
6446," The listener inquired about the availability of the room in the hotel.
"," The listener wants to know about the speaker's budget for providing a room for rent.
"
6447," The listener called the speaker to confirm the availability of the room.
"," The listener called the speaker after an hour again to inquire more about the apartment.
"
6448," The listener called the speaker to confirm the availability of the room.
"," The listener called the speaker after an hour again to inquire more about the apartment.
"
6449," The listener is happy to help the speaker.
"," The listener agreed to call the speaker after an hour.
"
6450," The speaker has to go to the pharmacy to get his prescription filled.
"," The speaker had been suffering from viral fever for the last three days.
"
6451," The speaker asked the listener if he needed anything else from the store.
"," The speaker will hand over a list of essential items for purchasing purposes to the listener.
"
6452," The speaker asked the listener if he had anything important to buy.
"," The speaker will hand over a list of essential items for purchasing purposes to the listener.
"
6453," The listener asked the speaker if he could go to the store for him.
"," The speaker requested to get some things for the listener from the market.
"
6454," The listener goes to the pharmacy to get the prescription filled for the speaker.
"," The listener cross-checked if the listener had mentioned all the required things on the list.
"
6455," The listener goes to the store to buy the items the speaker has requested him to buy.
"," The listener cross-checked if the listener had mentioned all the required things on the list.
"
6456," The speaker is confident that he forgot to put anything on the list.
"," The speaker was definite that she had mentioned all the required things in the list.
"
6457," The speaker's prescription has not been filled yet.
"," The listener inquired if the speaker wanted him to do anything else for her.
"
6458," The listener goes to the pharmacy to pick up the speaker's prescription.
"," The speaker had received a call from the pharmacy to inform her that her prescription was ready.
"
6459," The listener goes to the pharmacy to pick up the speaker's prescription.
"," The speaker had received a call from the pharmacy to inform her that her prescription was ready.
"
6460," The listener asked the speaker if the prescription had been filled yet.
"," The listener inquired if the speaker's prescription was filled.
"
6461," The listener goes to the pharmacy to pick up the speaker's prescription.
"," The listener went to pick up the subscription from the pharmacy.
"
6462," The listener goes to the pharmacy to pick up the speaker's prescription.
"," The listener went to pick up the subscription from the pharmacy.
"
6463," The listener asked the speaker if the prescription had been filled yet.
"," The listener's subscription at the pharmacy was ready and needed to be picked.
"
6464," The listener goes to the pharmacy to get the prescription filled for the speaker.
"," The listener went out to get all the work done.
"
6465," The listener goes to the pharmacy to get the prescription filled for the speaker.
"," The listener went out to get all the work done.
"
6466," The speaker is happy to help the listener.
"," The speaker was concerned about the listener's health.
"
6467," The listener is happy to help the speaker.
"," The listener was feeling blessed to have a friend like the speaker.
"
6468," The speaker wants to travel by bus.
"," The speaker went to the bus depot to get a bus pass for him.
"
6469," The speaker shows his student id card to the listener.
"," The listener will suggest to the speaker the different kinds of bus passes available.
"
6470," The speaker asks the listener to show him the bus pass.
"," The listener will suggest to the speaker the different kinds of bus passes available.
"
6471," The listener asked the speaker about the types of passes he would like to buy.
"," The listener asked for different types of passes being issues by the bus depot.
"
6472," The listener shows his student id card to the speaker.
"," The listener wanted to have a student pass for himself.
"
6473," The speaker shows the different types of bus passes to the listener.
"," The listener wanted to have a student pass for himself.
"
6474," The listener asked the speaker about the type of pass he would like to buy.
"," The depot was issuing day, month, week and student passes for the citizens.
"
6475," The listener shows the student pass to the speaker.
"," The speaker showed his student id to the listener.
"
6476," The listener shows the student pass to the speaker.
"," The speaker showed his student id to the listener.
"
6477," The listener is a student in the school.
"," The listener opted to have a student pass for himself.
"
6478," The listener shows his student id to the speaker.
"," The listener inquired about the cost of the pass.
"
6479," The listener shows his student id to the speaker.
"," The listener inquired about the cost of the pass.
"
6480," The listener has helped the speaker in getting the bus pass.
"," The listener bought the pass and the sticker for $24.
"
6481," The listener pays for the bus pass and leaves the shop.
"," The listener went on for his first bus ride with his new student pass.
"
6482," The listener pays for the bus pass and leaves the shop.
"," The listener went on for his first bus ride with his new student pass.
"
6483," The listener is happy to help the speaker.
"," The listener finally felt relieved as he had been trying to get this pass for the last fifteen days.
"
6484," The speaker is looking to buy a house.
"," The speaker went to see the house for which his wife had been telling him about.
"
6485," The speaker informed the listener that he was not familiar with the process of making an offer.
"," The listener will explain to the speaker the different formalities and paperwork associated with purchasing the house.
"
6486," The speaker informed the listener that he has never made an offer for a house before.
"," The listener will explain to the speaker the different formalities and paperwork associated with purchasing the house.
"
6487," The speaker is curious to know about the price of the house.
"," The speaker was eager to know the price the listener was willing to offer for the house.
"
6488," The speaker is excited to buy the house.
"," The speaker was totally impressed with the features and area of the house.
"
6489," The listener asked the speaker how much he was planning to pay for the house.
"," The listener was willing the full three hundred and fifty thousand dollars for the house.
"
6490," The speaker and the listener negotiate the price of the house.
"," The listener did not want to miss the chance to buy that house.
"
6491," The speaker and the listener will negotiate about the price of the house.
"," The listener did not want to miss the chance to buy that house.
"
6492," The speaker wants to leave some bargaining room in the offer.
"," The listener suggested the speaker bargain for the house in order to have some bargaining room with them.
"
6493," The speaker informed the listener that he will pay the full asking price of the house.
"," The real estate market had been down so the listener had suggested the speaker bargain in the cost of the house.
"
6494," The speaker will make an offer of three hundred and fifty thousand dollars.
"," The real estate market had been down so the listener had suggested the speaker bargain in the cost of the house.
"
6495," The market is very low right now.
"," The listener did not want to lose this house and was willing to pay anything to acquire it.
"
6496," The speaker informed the listener that he will wait for the owners to respond to his offer.
"," The owners responded to the listener's offer in three days.
"
6497," The listener accepts the speaker's offer and buys the house.
"," The owners responded to the listener's offer in three days.
"
6498," The listener asked the speaker when he would know if the owners would accept the offer.
"," The listener asked how he'd get to know if the owners had accepted the offer.
"
6499," The speaker informed the listener that the owners usually accept the offer within a few days.
"," The listener inquired if he should contact his bank for further financial procedures.
"
6500," The owner will accept the offer of the speaker.
"," The listener inquired if he should contact his bank for further financial procedures.
"
6501," The speaker is curious to know if the owners will accept the offer.
"," The speaker was eager to buy the house and wanted to be ready with the financials completely.
"
6502," The listener is excited to buy the house.
"," The listener was excited to buy the house.
"
6503," The speaker has a lease with the listener.
"," The speaker received a letter from the bank informing him about the extended lease.
"
6504," The speaker asked the listener if he had anything important to talk about.
"," The listener will wonder what the speaker wants to discuss with him.
"
6505," The speaker asks the listener about the reason for the call.
"," The listener will wonder what the speaker wants to discuss with him.
"
6506," The speaker's lease is up after three years.
"," The speaker called up the listener on her phone to discuss something.
"
6507," The speaker informed the listener that his lease is up after three years.
"," The speaker's lease was increased to three years by the listener.
"
6508," The speaker informed the listener that he was looking for a new apartment.
"," The speaker's lease was increased to three years by the listener.
"
6509," The listener asked the speaker when his lease would be up.
"," The speaker increased the listener's lease without any prior information.
"
6510," The speaker informed the listener that he will keep his deductible if he decides to leave before the three years.
"," The speaker would discuss the lease terms and conditions with the listener.
"
6511," The speaker informed the listener that his lease is up after three years.
"," The speaker would discuss the lease terms and conditions with the listener.
"
6512," The speaker is curious to know if he will get his deductible back if he leaves the lease before the three years.
"," The speaker was terrified to know the consequences if he breach the lease contract.
"
6513," The listener asked the speaker if there would be any problem if he decided to leave before the three years.
"," The listener was not supposed to leave the lease before three years as per the contract.
"
6514," The speaker informed the listener that if he decides to leave the lease before the three years, he will not receive his deductible.
"," The speaker would tell if the listener would add anything in the agreement.
"
6515," The speaker informed the listener that if he decides to leave before the three years, he will keep his deductible.
"," The speaker would tell if the listener would add anything in the agreement.
"
6516," The speaker informed the listener that if he breaks the contract, then he will not receive his deductible.
"," The speaker would move ahead towards his home.
"
6517," The speaker informed the listener that if he breaks the contract, then he will not receive his deductible.
"," The speaker would move ahead towards his home.
"
6518," The listener is satisfied with the speaker's response.
"," The listener was regretting his decision to sign the agreement with the speaker.
"
6519," The speaker has to send a parcel to australia.
"," The speaker wanted to send his cousin's birthday gift who lived in australia through the parcel.
"
6520," The listener asked the speaker if there was any other way to send the parcel.
"," The listener explains to the speaker that the cost of sending the parcel abroad depends upon its weight.
"
6521," The speaker asks the listener about the cost of sending the parcel.
"," The listener explains to the speaker that the cost of sending the parcel abroad depends upon its weight.
"
6522," The speaker is curious to know the weight of the parcel.
"," The speaker was curious to check the weight of the parcel.
"
6523," The listener asked the speaker about the weight of the parcel.
"," The listener is unsure about the way he wants to send the parcel.
"
6524," The listener asks the speaker about the weight of the parcel.
"," The listener will have to pay more if he wants to send his parcel through airways.
"
6525," The listener checks the weight of the parcel.
"," The listener will have to pay more if he wants to send his parcel through airways.
"
6526," The listener asked the speaker how he would like to send the parcel to australia.
"," The airmail consumes more energy and hence it is expensive than the surface mailing system.
"
6527," The speaker asks the listener about the cost of sending the parcel by airmail and surface mail.
"," The speaker will send the mail through air because it is an urgent mail.
"
6528," The speaker asks the listener about the cost of airmail.
"," The speaker will send the mail through air because it is an urgent mail.
"
6529," The listener inquired about the cost of sending the parcel by airmail and surface mail.
"," The speaker will now adjust his budget of sending the parcel accordingly.
"
6530," The speaker asks the listener about the cost of sending the parcel by airmail and surface mail.
"," The parcel will reach the destination on time.
"
6531," The speaker asks the listener about the cost of sending the parcel by airmail and surface mail.
"," The parcel will reach the destination on time.
"
6532," The speaker has to send the parcel to australia.
"," The parcel was important and the speaker wanted it delivered as soon as possible.
"
6533," The speaker sends the parcel by airmail to australia.
"," The parcel will reach the destination without any tampering as it is a registered parcel.
"
6534," The speaker sends the parcel by airmail to australia.
"," The parcel will reach the destination without any tampering as it is a registered parcel.
"
6535," The listener is happy to send the parcel to australia.
"," The listener is relieved as the package will be delivered.
"
6536," The speaker is a singer.
"," The speaker is a good singer.
"
6537," The speaker asked the listener about the song he wanted to sing.
"," The speaker will sing the latest song to showcase his singing talent.
"
6538," The speaker asks the listener about the song he is going to sing.
"," The speaker will sing the latest song to showcase his singing talent.
"
6539," The speaker is a singer.
"," The speaker do not like sad songs.
"
6540," The speaker asks the listener to sing a song that is not sad.
"," The speaker assures the listener that he will not get bored of the speaker's singing.
"
6541," The speaker asks the listener to sing a happy song.
"," The speaker assures the listener that he will not get bored of the speaker's singing.
"
6542," The listener asked the speaker to sing a song for him.
"," The listener finds it hard to think of a song that is not sad.
"
6543," The speaker asks the listener to sing a song that is not sad.
"," The listener will try and sing a happy song.
"
6544," The speaker asks the listener to choose a song that is not sad.
"," The listener will try and sing a happy song.
"
6545," The listener is excited to hear the song sung by the speaker.
"," The listener is happy.
"
6546," The speaker is excited to sing san francisco.
"," San fransisco is a jolly song which the listener wants to hear.
"
6547," The speaker has to leave the restaurant.
"," The speaker is getting late.
"
6548," The listener asked the speaker if he had anything important to talk about.
"," The listener wants the speaker to stay for some more time.
"
6549," The speaker would tell the listener that he had to go to the office.
"," The listener wants the speaker to stay for some more time.
"
6550," The speaker is eager to leave the restaurant.
"," The speaker is hurried up.
"
6551," The speaker and the listener were having dinner together.
"," The speaker wanted to stay for some more time.
"
6552," The speaker asked the listener if he could stay a little longer.
"," The speaker will reach on time he leaves right now.
"
6553," The speaker asks the listener if he can stay a little longer.
"," The speaker will reach on time he leaves right now.
"
6554," The speaker and the listener went to a restaurant for dinner.
"," The speaker cooked a tasty meal which the listener enjoyed a lot.
"
6555," The speaker and the listener enjoyed their dinner together.
"," The listener will again come for a supper at the speaker's.
"
6556," The speaker and the listener enjoyed their dinner together.
"," The listener will again come for a supper at the speaker's.
"
6557," The speaker is glad that the listener enjoyed the meal.
"," The speaker is happy that the listener enjoyed the meal.
"
6558," The listener is happy to know that the speaker enjoyed the meal.
"," The listener is joyful by the hospitality of the speaker.
"
6559," The speaker has to attend a business meeting in shanghai.
"," The speaker needs to reach shanghai at the earliest.
"
6560," The speaker will board the train to shanghai.
"," The listener will check his computer to see whether the tickets for shangai are available or not.
"
6561," The speaker will board the flight to shanghai.
"," The listener will check his computer to see whether the tickets for shangai are available or not.
"
6562," The speaker is excited to travel to shanghai.
"," The speaker is anticipating about the availability of the ticket.
"
6563," There are no tickets available for the 19:00 train.
"," All the tickets were sold.
"
6564," The speaker will wait for the next train to shanghai.
"," The speaker will take the ticket for the next departing train.
"
6565," The speaker will wait for the next available train to shanghai.
"," The speaker will take the ticket for the next departing train.
"
6566," The listener inquired about the next train to shanghai.
"," The next train is scheduled to leave at that time.
"
6567," The speaker will board the next train to shanghai.
"," The listener will have to wait for more than an hour to catch that train.
"
6568," The speaker will board the next train to shanghai.
"," The listener will have to wait for more than an hour to catch that train.
"
6569," The speaker has to catch the next train to shanghai.
"," The speaker did not had change so he gave a round number bill.
"
6570," The speaker will board the train on time.
"," The listener might not have the change to return.
"
6571," The speaker pays for the ticket and board the train.
"," The listener might not have the change to return.
"
6572," The listener asked the speaker about the ticket price.
"," The listener got the ticket to shanghai and also his 20 yuan change.
"
6573," The speaker will board the next train to shanghai.
"," The listener will now reach shanghai at the time he wanted to reach.
"
6574," The speaker will board the next train to shanghai.
"," The listener will now reach shanghai at the time he wanted to reach.
"
6575," The listener is happy to get the ticket and change.
"," The listener is relieved as he got the ticket.
"
6576," The speaker has booked a room in the hotel.
"," The speaker is hungry and is at a restaurant.
"
6577," The listener asks the speaker if he wants to order anything else for dinner.
"," The waiter will take the guest's food order and provide him with the food as per the guest's demand.
"
6578," The speaker asks the listener about the menu of the restaurant.
"," The waiter will take the guest's food order and provide him with the food as per the guest's demand.
"
6579," The speaker is excited to have dinner.
"," The speaker is craving for food.
"
6580," The listener asked the speaker what he would like to order for dinner.
"," The speaker is celebrating for some speacial occasion.
"
6581," The listener notes down the order of the speaker.
"," The speaker will enjoy his evening as he planned to do.
"
6582," The listener notes down the order of the speaker.
"," The speaker will enjoy his evening as he planned to do.
"
6583," The speaker is excited to have dinner at the hotel.
"," The speaker is excited and happy.
"
6584," The speaker is apologetic for not being able to provide the listener with the desired food item.
"," The speaker is sorry because he was not able to fullfil his customers need.
"
6585," The restaurant is currently out of filet mignon.
"," The speaker ordered filet but it was not available.
"
6586," The guest will order the porterhouse instead of the filet mignon.
"," The speaker would the design of the house to the listener.
"
6587," The listener suggests the speaker order the porterhouse instead of the filet.
"," The speaker would the design of the house to the listener.
"
6588," The speaker is not satisfied with the filet mignon.
"," The speaker is slightly disappointed.
"
6589," The speaker is curious to know whether the listener would like to order chocolate-covered strawberries with the champagne.
"," The speaker is trying to help the listener with the order.
"
6590," The listener suggested the speaker to order chocolate-covered strawberries with the champagne.
"," The speaker loved strawberries but tonight he won't have them.
"
6591," The listener asks the speaker about the price of the champagne.
"," The speaker would tell his preference for the champagne to the listener.
"
6592," The listener asks the speaker about the price of the champagne.
"," The speaker would tell his preference for the champagne to the listener.
"
6593," The hotel staff will provide room service to the guest.
"," The speaker will bring the food in the listener's room.
"
6594," The guest will pay for the food and will enjoy his dinner.
"," The speaker would start having his food with a fork and spoon.
"
6595," The guest will pay for the food and will enjoy his dinner.
"," The speaker would start having his food with a fork and spoon.
"
6596," The listener is satisfied with the service provided by the hotel staff.
"," The listener is excited about the food.
"
6597," The speaker is leaving for his trip to washington.
"," The speaker is going back to his home.
"
6598," The speaker will board his flight on time.
"," The listener will wish a happy journey to the speaker.
"
6599," The speaker asks the listener if he has anything important to talk about.
"," The listener will wish a happy journey to the speaker.
"
6600," The speaker is happy to say good-bye to everyone.
"," The speaker is sentimental.
"
6601," The speaker is leaving for the airport.
"," The speaker is bidding good bye to the listener.
"
6602," The speaker will board his flight on time.
"," The speaker would tell the friend to bring something for him.
"
6603," The speaker will board his flight on time.
"," The speaker would tell the friend to bring something for him.
"
6604," The speaker is leaving for his trip to washington.
"," The speaker lives in washington and wants the listener to contact him if he is there in washington sometime.
"
6605," The speaker asks the listener if he needs anything from the listener.
"," The listener will contact the speaker whenever he is in washington.
"
6606," The speaker asks the listener if he needs anything from the listener.
"," The listener will contact the speaker whenever he is in washington.
"
6607," The listener is excited to meet the speaker again.
"," The listener is sentimental as the speaker is leaving.
"
6608," The speaker has to attend an important meeting.
"," The speaker have to meet his dentist at 5pm.
"
6609," The listener asks the speaker if he needs anything else from the speaker.
"," The speaker will seek the listener's permission to leave the premises for his next appointment.
"
6610," The speaker told the listener that he had to attend another appointment at five.
"," The speaker will seek the listener's permission to leave the premises for his next appointment.
"
6611," The speaker is anxious about his appointment with the listener.
"," The speaker is in a hurry to reach his destination.
"
6612," The listener asked the speaker if he could mail the letter for him as he went through the lobby.
"," The speaker is reffering to the pictures which are necessary for police investigation.
"
6613," The listener asks the speaker if he needs anything else from the speaker.
"," The listener will get the pictures and submit it to his superiors.
"
6614," The listener asks the speaker if he needs anything else from the speaker.
"," The listener will get the pictures and submit it to his superiors.
"
6615," The speaker is happy to help the listener.
"," The speaker is eager to handover the files to the listener.
"
6616," The listener is happy to help the speaker.
"," The listener is relieved that the speaker will collect the pictures.
"
6617," The speaker has a lot of work to do.
"," The speaker has worked for years and now he is pondering upon it.
"
6618," The speaker informed the listener that he has not done anything for a long time.
"," The speaker is not satisfied with his current job and wants to explore new opportunities.
"
6619," The speaker informed the listener that he has not done anything for a long time.
"," The speaker is not satisfied with his current job and wants to explore new opportunities.
"
6620," The speaker is feeling sad as he has not done anything for a long time.
"," The speaker is disappointed in himself.
"
6621," The speaker and the listener have been married for a very long time.
"," The speaker is consoling the listener.
"
6622," The speaker asks the listener if she needs anything else from him.
"," The listener urges the speaker to feel optimistic about the future.
"
6623," The speaker asks the listener if she needs anything else from the listener.
"," The listener urges the speaker to feel optimistic about the future.
"
6624," The speaker is busy year in and year out.
"," The speaker is not satisfied by his work till date.
"
6625," The speaker informed the listener that he has not done anything in the last two days.
"," The speaker will do something which according to him is satisfactory enough.
"
6626," The speaker informed the listener that he has been busy year in and year out, but now he has done nothing.
"," The speaker will do something which according to him is satisfactory enough.
"
6627," The listener is concerned about the speaker's health.
"," The listener is feeling sympathy towards the speaker.
"
6628," The speaker is feeling tired.
"," The speaker has not taken any break or vacation for a long time and now is feeling the fatigue of his work.
"
6629," The speaker is feeling tired.
"," The speaker has worked very hardin his exercise class.
"
6630," The speaker is a fitness freak.
"," The speaker is a sports person and jogs for 10 miles everyday and hence it's not a big deal for him.
"
6631," The speaker will join the next morning's class.
"," The listener decides to try the speaker's exercise class.
"
6632," The speaker informed the listener that he has never taken an exercise class before.
"," The listener decides to try the speaker's exercise class.
"
6633," The speaker is a fitness trainer.
"," The speaker have the time table of his classes for the next day.
"
6634," The speaker will join the next morning's exercise class.
"," The listener will join the speaker for his exercise class.
"
6635," The speaker will join the next morning's exercise class.
"," The listener will join the speaker for his exercise class.
"
6636," The listener asked the speaker if he would be going to the exercise class this morning.
"," The speaker is ready to attend the class the speaker is reffering to.
"
6637," The speaker will join the next morning's exercise class.
"," The speaker is an athelete and he will prove to the listener that he will not get tired.
"
6638," The speaker will join the next morning's exercise class.
"," The speaker is an athelete and he will prove to the listener that he will not get tired.
"
6639," The speaker is not able to move after the class.
"," The listener challenging the speaker made the speaker say this.
"
6640," The speaker is a fitness freak.
"," The speaker have a habit of exercising one hour and more.
"
6641," The speaker will join the next morning's exercise class.
"," The speaker will win the bet.
"
6642," The speaker will join the next morning's exercise class.
"," The speaker will win the bet.
"
6643," The listener is happy to help the speaker.
"," The listener is confident that the speaker wil lnot survive the exercise class.
"
6644," The speaker is planning to get married.
"," The speaker's wedding is approaching and hence she is going to try out the dress that she is going to wear at the wedding.
"
6645," The speaker and the listener will go to the wedding dress store downtown.
"," The listener wants to see how the speaker looks in bridal attire.
"
6646," The speaker and the listener will go to the wedding dress store downtown.
"," The listener wants to see how the speaker looks in bridal attire.
"
6647," The speaker is excited about her wedding dress.
"," The speaker is excited about trying out her wedding dress.
"
6648," The speaker is excited to help the listener in selecting a dress for the wedding.
"," The speaker is also excited to help the listener.
"
6649," The speaker is a little nervous about her wedding dress.
"," The speaker wants to look really beautiful so she will get nervous alone.
"
6650," The listener will help the speaker in selecting a dress for her wedding.
"," The listener will accompany the speaker and help her choose the right dress.
"
6651," The speaker shows her wedding dress to the listener.
"," The listener will accompany the speaker and help her choose the right dress.
"
6652," The speaker is excited to try on the dresses.
"," The speaker is nervous about her wedding.
"
6653," The listener is feeling nervous about her wedding dress.
"," The listener is a very good looking woman and the speaker is sure that she will look beautiful on her wedding day.
"
6654," The speaker helps the listener in selecting a dress for the wedding.
"," The listener will feel confident by the speakers comment.
"
6655," The speaker helps the listener in selecting a dress for the wedding.
"," The listener will feel confident by the speakers comment.
"
6656," The speaker is excited to help the listener in selecting her wedding dress.
"," The speaker is confident that the listener will look gorgeous on her wedding day.
"
6657," The listener is happy to help the speaker in selecting a dress for her wedding.
"," The listener is happy to listenen the compliment.
"
6658," The speaker and the listener went out for dinner.
"," The speaker did not eat breakfast.
"
6659," The speaker and the listener went to a restaurant to have dinner.
"," Both the speaker and the listener will order their favorite food from a nearby restaurant.
"
6660," The speaker and the listener went to a nearby restaurant to have dinner.
"," Both the speaker and the listener will order their favorite food from a nearby restaurant.
"
6661," The speaker is craving for something to eat.
"," The speaker is craving for food.
"
6662," The speaker and the listener went out for dinner.
"," The restaurant down the street is famous for its delicious food.
"
6663," The speaker and the listener went to a nearby restaurant to have dinner.
"," The speaker wants to eat some junk food in his tonight's dinner.
"
6664," The speaker and the listener went to a nearby restaurant to have dinner.
"," The speaker wants to eat some junk food in his tonight's dinner.
"
6665," The speaker is craving for junk food.
"," The speaker is excited to eat hamburger, fries and colette sunday.
"
6666," The speaker is confident that he will not gain weight.
"," The speaker is very confident about its weight.
"
6667," The speaker is a health conscious person.
"," The speaker is a fitness freak and keeps track of his daily diet.
"
6668," The speaker suggests the listener to avoid junk food for a long time.
"," The listener changes his mind to order a hamburger, fries and a chocolate sundae.
"
6669," The listener agrees with the speaker's statement.
"," The listener changes his mind to order a hamburger, fries and a chocolate sundae.
"
6670," The speaker and the listener were planning to go out for dinner.
"," The speaker is under the impression that pizza, fried chicken and hot dogs have low fat and cholestrol.
"
6671," The speaker and the listener ordered pizza and fried chicken for themselves.
"," The listener refused to eat anything that is unhealthy.
"
6672," The speaker and the listener ordered pizza and fried chicken for themselves.
"," The listener refused to eat anything that is unhealthy.
"
6673," The listener is disappointed with the speaker's statement.
"," The listener felt embarrassed by the statement of the speaker.
"
6674," Mr. sandals is worried about the cockroaches in his office.
"," The listener is panicked by the unexpected problem he was facing.
"
6675," Mr. sandals has a problem with cockroaches.
"," The listener phoned at the reception for having some problem.
"
6676," Mr. sandals told the listener that he had seen many cockroaches in the office.
"," The guest feels disgusted about finding his room filled with cockroaches and insects.
"
6677," The speaker asks the listener about the reason for the problem.
"," The guest feels disgusted about finding his room filled with cockroaches and insects.
"
6678," The speaker is concerned about the listener.
"," The speaker is sorry for the inconvenience caused to the listener and is curious to know what happened.
"
6679," Mr. sandals told the listener that he had never seen a cockroach in his entire life.
"," The listener asked the speaker to re-check whether there were indeed some cockroaches in the room.
"
6680," The speaker told the listener that the cockroaches are everywhere in the room.
"," The listener asked the speaker to re-check whether there were indeed some cockroaches in the room.
"
6681," Mr. sandals has been working in the same office for the last five years.
"," The hotel management takes very good care of the rooms allotted to the guests.
"
6682," Mr. sandals informed the listener that the next cockroach he will see will be number ten.
"," The listener does not listen to the speaker and keeps on complaining about the cockroaches.
"
6683," Mr. sandals informed the listener that the next cockroach he will see will be number ten.
"," The listener does not listen to the speaker and keeps on complaining about the cockroaches.
"
6684," Mr. sandals is annoyed by the cockroaches.
"," The speakers is confident about the quality and cleanliness of the hotel.
"
6685," The speaker is annoyed with the listener.
"," The speaker is angry with the hotel staff for not being present on time.
"
6686," The speaker transferred mr. sandals to his supervisor.
"," The speaker would dial phone to the supervisor.
"
6687," The speaker transferred mr. sandals to his supervisor.
"," The speaker would dial phone to the supervisor.
"
6688," The speaker is confused about the new system.
"," The speaker is unsure of what zina is trying to do.
"
6689," Zina and her friends are working hard to launch stars.com.
"," The speaker has some business ideas in mind.
"
6690," Zina and the speaker will get the stars.com account by the end of next week.
"," The speaker would show the account data to the listener.
"
6691," Zina and the speaker will get the stars.com account as soon as possible.
"," The speaker would show the account data to the listener.
"
6692," Zina informed the listener that they will get the stars.com account by the end of next week.
"," Zina shows the speaker the blue print of the plan she is going to implement.
"
6693," Zina and the speaker will get the stars.com account as soon as possible.
"," Zina shows the speaker the blue print of the plan she is going to implement.
"
6694," Zina and the speaker are planning to get the stars.com account by the end of next week.
"," The speaker and zina are business partners in the same project.
"
6695," Zina and the speaker will get the stars.com account by the end of next week.
"," The speaker asks about the next step that needs to be taken to proceed.
"
6696," Zina and the speaker will get the stars.com account as soon as possible.
"," The speaker asks about the next step that needs to be taken to proceed.
"
6697," Zina is confident that she will be able to beat webtracker to the punch.
"," The speaker is determined about his decision to stay with zina.
"
6698," Zina is hopeful of getting the stars.com account by the end of next week.
"," The speaker is excited about the launch of the project next week.
"
6699," Zina is confident that invoking will be up and running by the end of next week.
"," Zina is confident about launching her project.
"
6700," The speaker has an appointment with poyou's daughter.
"," The speaker had plans to go shopping with the listener.
"
6701," The speaker will not be able to go to the doctor's appointment with poyou.
"," The listener will wonder why the speaker does not want to go.
"
6702," The speaker told the listener that he had to attend a business meeting.
"," The listener will wonder why the speaker does not want to go.
"
6703," The speaker is not able to go to the doctor's clinic.
"," The speaker apologizes for not being able to accompany the listener during the purchase.
"
6704," The speaker's daughter has an appointment with the doctor.
"," The speaker's daughter has asked the speaker to see poyu the day before.
"
6705," The speaker will not be able to go to the doctor's clinic as he has to meet his daughter.
"," The speaker calls his daughter home to be ready in time to meet poyu.
"
6706," The speaker told the listener that she had to go to her daughter's home to meet her.
"," The speaker calls his daughter home to be ready in time to meet poyu.
"
